ticker,file_name,event_trading_day_final,total_tokens,neg_count_lm,pos_count_lm,neg_rate_lm,pos_rate_lm
AAPL,2016-Jan-26-AAPL.txt,2016-01-27,7965,14,60,0.0017576898932831137,0.007532956685499058
AAPL,2016-Apr-26-AAPL.txt,2016-04-27,9209,18,39,0.0019546096210229123,0.00423498751221631
AAPL,2016-Jul-26-AAPL.txt,2016-07-27,7400,4,42,0.0005405405405405405,0.005675675675675676
AAPL,2016-Oct-25-AAPL.txt,2016-10-26,7923,2,48,0.0002524296352391771,0.00605831124574025
AAPL,2017-Jan-31-AAPL.txt,2017-02-01,7766,9,59,0.0011588977594643318,0.007597218645377286
AAPL,2017-May-02-AAPL.txt,2017-05-03,7586,9,71,0.0011863959926179805,0.00935934616398629
AAPL,2017-Aug-01-AAPL.txt,2017-08-02,7912,3,41,0.00037917087967644087,0.005182002022244692
AAPL,2017-Nov-02-AAPL.txt,2017-11-03,6947,5,70,0.0007197351374694113,0.010076291924571757
AAPL,2018-Feb-01-AAPL.txt,2018-02-02,7988,3,73,0.0003755633450175263,0.00913870806209314
AAPL,2018-May-01-AAPL.txt,2018-05-02,6927,6,75,0.0008661758336942399,0.010827197921177999
AAPL,2018-Jul-31-AAPL.txt,2018-08-01,7740,11,64,0.001421188630490956,0.008268733850129198
AAPL,2018-Nov-01-AAPL.txt,2018-11-02,8466,5,63,0.0005905976848570753,0.0074415308291991495
AAPL,2019-Jan-29-AAPL.txt,2019-01-30,7738,11,59,0.001421555957611786,0.007624709227190488
AAPL,2019-Apr-30-AAPL.txt,2019-05-01,7378,12,48,0.001626457034426674,0.006505828137706696
AAPL,2019-Jul-30-AAPL.txt,2019-07-31,8198,9,81,0.0010978287387167602,0.009880458648450842
AAPL,2019-Oct-30-AAPL.txt,2019-10-31,8130,13,64,0.0015990159901599016,0.007872078720787207
AAPL,2020-Jan-28-AAPL.txt,2020-01-29,7310,7,74,0.0009575923392612859,0.01012311901504788
AAPL,2020-Apr-30-AAPL.txt,2020-05-01,7862,12,44,0.0015263291783261257,0.005596540320529127
AAPL,2020-Jul-30-AAPL.txt,2020-07-31,7952,7,68,0.0008802816901408451,0.008551307847082495
AMD,2016-Jan-19-AMD.txt,2016-01-20,8870,18,65,0.002029312288613303,0.007328072153325817
AMD,2016-Apr-21-AMD.txt,2016-04-22,8744,16,53,0.0018298261665141812,0.006061299176578225
AMD,2016-Jul-21-AMD.txt,2016-07-22,8477,13,41,0.0015335614014391884,0.004836616727615902
AMD,2016-Oct-20-AMD.txt,2016-10-21,7105,9,45,0.001266713581984518,0.0063335679099225895
